"REF_DATE","GEO","DGUID","Type of structure","Type of work","Investment Value","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7094532541","","","","0"
"2010-02","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6085675314","","","","0"
"2010-03","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5232280184","","","","0"
"2010-04","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5719816158","","","","0"
"2010-05","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7083345415","","","","0"
"2010-06","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8168892618","","","","0"
"2010-07","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8595104444","","","","0"
"2010-08","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8307412820","","","","0"
"2010-09","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7786809030","","","","0"
"2010-10","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7401477067","","","","0"
"2010-11","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7148167266","","","","0"
"2010-12","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6520898494","","","","0"
"2011-01","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5909287542","","","","0"
"2011-02","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5132945310","","","","0"
"2011-03","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","4672667281","","","","0"
"2011-04","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5380340448","","","","0"
"2011-05","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6781399947","","","","0"
"2011-06","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8194048765","","","","0"
"2011-07","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","9036924626","","","","0"
"2011-08","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8986029190","","","","0"
"2011-09","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8823320233","","","","0"
"2011-10","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8469382898","","","","0"
"2011-11","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7947028515","","","","0"
"2011-12","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7383109178","","","","0"
"2012-01","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6962114374","","","","0"
"2012-02","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6219884339","","","","0"
"2012-03","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","5577251214","","","","0"
"2012-04","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","6175623511","","","","0"
"2012-05","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","7320860344","","","","0"
"2012-06","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8709927628","","","","0"
"2012-07","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","9323815834","","","","0"
"2012-08","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","9193602948","","","","0"
"2012-09","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","9121163376","","","","0"
"2012-10","Canada","2016A000011124","Total residential","Types of work, total","Unadjusted - current","Dollars","81","units","0","v1014954062","1.2.1.1","8574388749","","","","0"
