"REF_DATE","GEO","DGUID","Sex","Age group","Skill","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440070","1.1.1.1.1","273.5","A","","","1"
"2012","Canada","2016A000011124","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440073","1.1.1.2.1","265.5","A","","","1"
"2012","Newfoundland and Labrador","2016A000210","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440178","2.1.1.1.1","265.4","A","","","1"
"2012","Newfoundland and Labrador","2016A000210","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440181","2.1.1.2.1","251.9","A","","","1"
"2012","Prince Edward Island","2016A000211","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440286","3.1.1.1.1","277.5","A","","","1"
"2012","Prince Edward Island","2016A000211","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440289","3.1.1.2.1","265.0","A","","","1"
"2012","Nova Scotia","2016A000212","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440394","4.1.1.1.1","273.9","A","","","1"
"2012","Nova Scotia","2016A000212","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440397","4.1.1.2.1","262.8","A","","","1"
"2012","New Brunswick","2016A000213","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440502","5.1.1.1.1","268.3","A","","","1"
"2012","New Brunswick","2016A000213","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440505","5.1.1.2.1","255.7","A","","","1"
"2012","Quebec","2016A000224","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440610","6.1.1.1.1","268.6","A","","","1"
"2012","Quebec","2016A000224","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440613","6.1.1.2.1","264.9","A","","","1"
"2012","Ontario","2016A000235","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440718","7.1.1.1.1","275.5","A","","","1"
"2012","Ontario","2016A000235","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440721","7.1.1.2.1","266.3","A","","","1"
"2012","Manitoba","2016A000246","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440826","8.1.1.1.1","273.9","A","","","1"
"2012","Manitoba","2016A000246","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440829","8.1.1.2.1","264.2","A","","","1"
"2012","Saskatchewan","2016A000247","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96440934","9.1.1.1.1","271.6","A","","","1"
"2012","Saskatchewan","2016A000247","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96440937","9.1.1.2.1","262.8","A","","","1"
"2012","Alberta","2016A000248","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96441042","10.1.1.1.1","277.7","A","","","1"
"2012","Alberta","2016A000248","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96441045","10.1.1.2.1","269.1","A","","","1"
"2012","British Columbia","2016A000259","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96441150","11.1.1.1.1","274.8","A","","","1"
"2012","British Columbia","2016A000259","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96441153","11.1.1.2.1","266.3","A","","","1"
"2012","Yukon","2016A000260","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96441258","12.1.1.1.1","277.2","A","","","1"
"2012","Yukon","2016A000260","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96441261","12.1.1.2.1","263.1","A","","","1"
"2012","Northwest Territories","2016A000261","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96441366","13.1.1.1.1","253.3","A","","","1"
"2012","Northwest Territories","2016A000261","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96441369","13.1.1.2.1","239.4","A","","","1"
"2012","Nunavut","2016A000262","Both sexes","Total age groups","Literacy","Average score","Number","223","units","0","v96441474","14.1.1.1.1","219.1","A","","","1"
"2012","Nunavut","2016A000262","Both sexes","Total age groups","Numeracy","Average score","Number","223","units","0","v96441477","14.1.1.2.1","200.5","A","","","1"


