"REF_DATE","GEO","DGUID","School board revenues by direct source of funds","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","26599229","","","","0"
"1991","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","28898330","","","","0"
"1992","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","30214919","","","","0"
"1993","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","30503857","","","","0"
"1994","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","30884919","","","","0"
"1995","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","31038142","","","","0"
"1996","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","31026143","","","","0"
"1997","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","31069581","","","","0"
"1998","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","31498324","","","","0"
"1999","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","32202809","","","","0"
"2000","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","33376412","","","","0"
"2001","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","34682835","","","","0"
"2002","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","35918440","","","","0"
"2003","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","37717472","","","","0"
"2004","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","39681290","","","","0"
"2005","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","41534641","","","","0"
"2006","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","43414001","","","","0"
"2007","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","45802579","","","","0"
"2008","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","47872221","","","","0"
"2009","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","49724674","","","","0"
"2010","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","51644180","","","","0"
"2011","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","53617497","","","","0"
"2012","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","56268948","","","","0"
"2013","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","56802835","","","","0"
"2014","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","58050353","","","","0"
"2015","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","59679563","","","","0"
"2016","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","61320747","","","","0"
"2017","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","64238539","","","","0"
"2018","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","66222721","","","","0"
"2019","Canada","2016A000011124","Total revenues","Dollars","81","thousands","3","v1025849","1.6","65921091","","","","0"
"1990","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","15944108","","","","0"
"1991","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","17012088","","","","0"
"1992","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","17507002","","","","0"
"1993","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","17535775","","","","0"
"1994","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","17468331","","","","0"
"1995","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","17046567","","","","0"
"1996","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","16767256","","","","0"
"1997","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","16203233","","","","0"
"1998","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","19236534","","","","0"
"1999","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","19941679","","","","0"
"2000","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","20942710","","","","0"
"2001","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","21786680","","","","0"
"2002","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","22930052","","","","0"
"2003","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","24090718","","","","0"
"2004","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","24870896","","","","0"
